repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
HPI-Information-Systems/Metanome,101,157,611,2678,https://github.com/HPI-Information-Systems/Metanome.git,eab0a20e925e488a61c43f6a17570a7ad80cb053,master,95.21864028762536
serso/android-messengerpp,101,156,127,873,https://github.com/serso/android-messengerpp.git,29a71dafe1d069fe3a9ab2d0c8a6ed26a3bc6d6c,master,98.98933219165067
fcrepo/fcrepo,101,153,1349,3439,https://github.com/fcrepo/fcrepo.git,88d45d25f82f51a1d8b9cd6e563ef4988cc956ea,main,99.12393919838088
sanger-pathogens/Artemis,101,153,5827,5428,https://github.com/sanger-pathogens/Artemis.git,525602428a367849a8abe993d0dcac2d3fb7ed94,master,99.72964809774035
vaadin/spring,101,152,109,449,https://github.com/vaadin/spring.git,fe8fde45df9b8bfcd9a5c83028333e691b1e157b,master,93.6972705479241
wildfly/wildfly-core,101,149,4686,16472,https://github.com/wildfly/wildfly-core.git,3e289e06645dd9fb653ec80733f7d6b42231555d,main,99.11922776222292
st-js/st-js,101,148,760,935,https://github.com/st-js/st-js.git,a97a611b39709477b8f6ddb3a05fa64b1976db17,master,65.5301168771213
jcabi/jcabi-http,101,146,118,659,https://github.com/jcabi/jcabi-http.git,ab9b4e2a5275a28ba021a1f331b8bfae26579976,master,100.0
CobbleSword/NachoSpigot,101,146,335,685,https://github.com/CobbleSword/NachoSpigot.git,00a3d3bb568d26b7938cf6e00cc82f473fe196e8,master,99.97880614796134
LearnLib/learnlib,101,145,129,1047,https://github.com/LearnLib/learnlib.git,9e1a34b64a0a3bc259fcff02f8922e738ef76f9c,master,99.83253123377678
r2dbc/r2dbc-h2,101,145,240,207,https://github.com/r2dbc/r2dbc-h2.git,a9b8f5d3e49e63fa09b0b3b41c55785e3d1e279f,main,99.7501099967283
xnnyygn/xraft,101,144,231,180,https://github.com/xnnyygn/xraft.git,841d716f1da324c58756f307cd69af64646f2bd8,master,99.8289487719026
r2dbc/r2dbc-mssql,101,143,479,326,https://github.com/r2dbc/r2dbc-mssql.git,2757a8216f50fa3076d64cc7db32caaab178a643,main,99.94220986388072
revapi/revapi,101,142,338,2410,https://github.com/revapi/revapi.git,4c18c509ebd3fb229cf13113df95dafd5fd80ac8,main,97.17440477967584
SpigotMC/Spigot-API,101,141,280,1540,https://github.com/SpigotMC/Spigot-API.git,b3e065a2b11a6dd2590606600ae58ba08e8763f8,master,100.0
apache/deltaspike,101,136,915,2462,https://github.com/apache/deltaspike.git,851d8e241508b18001b819f2489c129857ebd3e1,main,97.32762426906483
mnemonic-no/act-platform,101,135,1616,610,https://github.com/mnemonic-no/act-platform.git,e7980e47c0846c58a6bc554f6317ade5741cefe8,master,99.43557799335031
wildfly-swarm-archive/ARCHIVE-wildfly-swarm,101,133,146,936,https://github.com/wildfly-swarm-archive/ARCHIVE-wildfly-swarm.git,28ef71bcfa743a7267666e0ed2919c37b356c09b,master,97.63042875014635
BatooOrg/BatooJPA,101,133,312,815,https://github.com/BatooOrg/BatooJPA.git,3d3f1c8c800fbbe2fe52cd04301376a29f087eac,master,99.60292026021726
