repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
apache/storm,101,6297,1139,10461,https://github.com/apache/storm.git,f481eaf043dba3b6c62ac27bb2306ef652f2ace9,master,83.66357174804524
NanoHttpd/nanohttpd,101,6118,180,599,https://github.com/NanoHttpd/nanohttpd.git,efb2ebf85a2b06f7c508aba9eaad5377e3a01e81,master,98.41562320596108
Graylog2/graylog2-server,101,5890,3185,19507,https://github.com/Graylog2/graylog2-server.git,4ddbc427df79e0bee0ddd596e8e8325e288046ff,master,66.75001286887209
AsyncHttpClient/async-http-client,101,5854,558,4101,https://github.com/AsyncHttpClient/async-http-client.git,c959fa0483adb4a71fbccc5be94d8b6faa4f74be,master,99.91772976900228
google/error-prone,101,5749,4915,5116,https://github.com/google/error-prone.git,f10bba5891d9c7bf8588792fac04afbc238478fd,master,99.94526546250684
weibocom/motan,101,5746,169,574,https://github.com/weibocom/motan.git,f9c46071eafca4f6216d1f431e5f2f50223383fd,master,86.76499427167731
sohutv/cachecloud,101,5674,567,434,https://github.com/sohutv/cachecloud.git,f9dfc98eadcfd7d56821852ece0c73d14cb171e1,main,60.07955906080901
debezium/debezium,101,5625,2152,5811,https://github.com/debezium/debezium.git,39ecc4e732484f9fe6de6cfd9efd8174f7a3b063,main,93.98186369298858
joelittlejohn/jsonschema2pojo,101,5608,646,1223,https://github.com/joelittlejohn/jsonschema2pojo.git,4d00331095a152cf00ba3b3e551776fa1778d7a7,master,95.38633616656269
rest-assured/rest-assured,101,5584,1555,2044,https://github.com/rest-assured/rest-assured.git,4eeb3d82b1d4672787b57ca45167a63085c8c1f1,master,83.13763491188654
lets-blade/blade,101,5563,270,769,https://github.com/lets-blade/blade.git,118d856b53bd6aaf1e085304ffe835b7fc7aebf7,master,99.8152499101124
languagetool-org/languagetool,101,5535,1299,53045,https://github.com/languagetool-org/languagetool.git,a76e5ab4938c8d058415b95782952ba1e89c7634,master,90.08040097652793
apache/zeppelin,101,5478,1074,5012,https://github.com/apache/zeppelin.git,cd09f93b0d713ea3e199cf96f24855d4e67c1cff,master,61.0091425088568
apache/incubator-shenyu,101,5463,1338,1657,https://github.com/apache/incubator-shenyu.git,2f5cc73fb7f5d491748c8258b8d69864aa9b0810,master,93.00613425269565
karatelabs/karate,101,5383,556,3416,https://github.com/karatelabs/karate.git,14807dbf8d7c45f709299574222dd498b1fa5e67,master,84.80240938381552
pentaho/pentaho-kettle,101,5336,5346,22496,https://github.com/pentaho/pentaho-kettle.git,b79362de3e19f0205a6c8753675fb815eaa50e06,master,97.35484756027996
Alluxio/alluxio,101,5300,3595,32393,https://github.com/Alluxio/alluxio.git,b9681d4ec598e2d3e29b4eba25092e121fc2d136,master,93.35433478875368
scribejava/scribejava,101,5218,115,1235,https://github.com/scribejava/scribejava.git,124745961e999ccede90e2348c6012f8d335eb8a,master,100.0
JodaOrg/joda-time,101,4723,135,2190,https://github.com/JodaOrg/joda-time.git,e9337f0c0955aed0e3d6866a35ba2db5992080e5,master,99.67902800444216
quartz-scheduler/quartz,101,4706,143,793,https://github.com/quartz-scheduler/quartz.git,cbce9b6d066980e5f2af2a35f1c83917f4db5b48,master,98.41229045656678
hazelcast/hazelcast,101,4611,37495,35553,https://github.com/hazelcast/hazelcast.git,d05be9ecf18da725ac8ccfc96fe1385977cadd13,master,99.64599173586478
raphw/byte-buddy,101,4601,4682,5993,https://github.com/raphw/byte-buddy.git,7402e597870dfacce6fe13a1390070c38bbb2317,master,99.95334623955148
confluentinc/ksql,101,4598,2316,9534,https://github.com/confluentinc/ksql.git,0de5dda35cccaf330eb05e43ae5630943307a914,master,99.60153533999822
mapstruct/mapstruct,101,4567,1196,1500,https://github.com/mapstruct/mapstruct.git,735a5bef6a36644a48bfc5bebde31e217574551c,master,98.29098998931318
flowable/flowable-engine,101,4562,6442,12615,https://github.com/flowable/flowable-engine.git,f7323c2b042452c7fe2c0698d61186a694d6c459,main,74.49909941120978
gephi/gephi,101,4503,205,4667,https://github.com/gephi/gephi.git,db454c59cc9da3f47b7268de4ccbfa73b7f5245e,master,99.2314346067271
spring-projects/spring-security-oauth,101,4484,949,1411,https://github.com/spring-projects/spring-security-oauth.git,2b58aafecac336e82f20ea43da9b208b0a4a40dd,main,100.0
spring-cloud/spring-cloud-netflix,101,4483,214,2898,https://github.com/spring-cloud/spring-cloud-netflix.git,dc45b7f580fadb73c505990b065d4986cd7156e3,main,93.76615509228928
sofastack/sofa-boot,101,4405,275,430,https://github.com/sofastack/sofa-boot.git,f65941f97fb908d1b3596865e27a1873b56b608a,master,99.98651779953694
orientechnologies/orientdb,101,4378,3579,20712,https://github.com/orientechnologies/orientdb.git,3a394ef87dc4312b723db2e4e9feafdfbc7eca24,master,99.55596935811532
trinodb/trino,101,4368,10786,25057,https://github.com/trinodb/trino.git,a836e7c223b1c70f25eb7a8c0c7baed8a1e4945d,master,99.33457827473056
lettuce-io/lettuce-core,101,4262,2135,2146,https://github.com/lettuce-io/lettuce-core.git,b0a392f606d91d2e5fe49423ba3086b64629ba54,main,95.19176274567036
apache/hbase,101,4260,6249,18843,https://github.com/apache/hbase.git,8458e44a1a7d9cd450d5b8a8ad9dd3305e14705a,master,95.54108203134484
