date, value
2021-06-09 13:24, 11649
2021-06-09 10:21, 12038
2021-06-09 01:05, 11647
2021-06-08 14:13, 12034
2021-06-08 06:24, 12021
2021-06-07 05:57, 11647
2021-06-06 18:44, 12015
2021-06-06 18:22, 12015
2021-06-04 15:49, 12015
2021-06-03 07:27, 12013
2021-06-02 19:09, 12013
2021-06-01 13:38, 11632
2021-05-28 21:30, 11631
2021-05-27 18:49, 12001
2021-05-26 22:52, 11996
2021-05-26 00:40, 11629
2021-05-25 08:13, 11990
2021-05-23 14:37, 11988
2021-05-20 20:38, 11626
2021-05-19 23:16, 11626
2021-05-19 18:04, 11979
2021-05-19 15:19, 11975
2021-05-19 13:49, 11975
2021-05-19 07:33, 11612
2021-05-18 09:00, 11972
2021-05-18 06:32, 11612
2021-05-17 23:23, 11609
2021-05-17 14:08, 11963
2021-05-17 12:39, 11963
2021-05-17 12:39, 11963
2021-05-17 12:39, 11963
2021-05-17 12:39, 11963
2021-05-17 12:39, 11963
2021-05-17 10:27, 11961
2021-05-17 09:34, 11601
2021-05-17 06:51, 11601
2021-05-17 06:51, 11601
2021-05-17 06:07, 11961
2021-05-17 05:46, 10653
2021-05-16 13:09, 11961
2021-05-14 12:58, 11961
2021-05-14 06:38, 11961
2021-05-12 23:14, 11959
2021-05-12 15:27, 11959
2021-05-12 05:34, 11599
2021-05-11 15:17, 11954
2021-05-11 11:29, 10653
2021-05-11 01:04, 11954
2021-05-10 10:43, 11954
2021-05-10 07:01, 11595
2021-05-07 02:50, 11595
2021-05-06 15:11, 11951
2021-05-04 15:15, 11950
2021-05-04 05:39, 11950
2021-04-30 19:15, 11589
2021-04-30 11:39, 10649
2021-04-30 06:47, 10648
2021-04-29 11:23, 10647
2021-04-29 08:16, 11584
2021-04-28 17:25, 11940
2021-04-28 12:34, 11940
2021-04-28 11:54, 10643
2021-04-27 14:19, 11936
2021-04-27 10:27, 11936
2021-04-26 14:53, 11934
2021-04-22 13:26, 11933
2021-04-22 09:10, 11933
2021-04-21 13:20, 11580
2021-04-20 14:47, 11933
2021-04-20 08:23, 11933
2021-04-19 14:53, 10643
2021-04-19 07:34, 11929
2021-04-16 07:22, 11929
2021-04-15 14:28, 11926
2021-04-15 08:39, 11926
2021-04-15 06:47, 11926
2021-04-14 16:40, 11922
2021-04-14 13:18, 11923
2021-04-14 11:30, 10641
2021-04-14 06:47, 11575
2021-04-14 04:33, 11921
2021-04-13 19:49, 11917
2021-04-13 17:17, 11917
2021-04-13 13:43, 11917
2021-04-13 13:43, 11917
2021-04-13 12:52, 11917
2021-04-13 12:34, 10641
2021-04-13 06:26, 11575
2021-04-12 14:55, 11575
2021-04-12 07:32, 11899
2021-04-12 06:57, 11573
2021-04-12 06:38, 11899
2021-04-10 06:46, 11880
2021-04-09 16:48, 10638
2021-04-09 14:06, 11879
2021-04-09 13:35, 10638
2021-04-09 12:02, 10638
2021-04-09 12:02, 10638
2021-04-09 12:02, 10638
2021-04-09 10:43, 11879
2021-04-09 03:29, 11872
2021-04-08 16:02, 11572
2021-04-08 06:21, 11859
2021-04-07 13:43, 10638
2021-04-07 11:24, 11572
2021-04-07 05:43, 11857
2021-04-06 17:16, 11848
2021-04-06 00:24, 11778
2021-04-01 18:21, 11766
2021-04-01 13:59, 10634
2021-03-31 19:18, 11761
